acc,name,length,n_conf,max_over_mean,plasticity_pct,plasticity_band,l2_delta_max,l2_delta_mean,l2_delta_max_resid,ens_spread_mean,cos_max,cos_mean,peak_localization,compartment,is_soluble
Q9Y6R9,CCD61_HUMAN,512,5,1.9668951672582655,99.9911668580514,very_high,1390.9945088524023,707.2031758506982,514.4584052779154,11.833627213434356,0.9291195126508752,0.6624818766206604,8.056014232268064,soluble,True
O75771,RA51D_HUMAN,328,5,1.8096646074132292,99.98233371610283,very_high,1188.8317211029537,656.9348354557719,336.34074324376434,11.630330215617647,0.9791055753612802,0.6265785570823798,7.409425871387474,soluble,True
Q06609,RAD51_HUMAN,339,5,1.7883812192317228,99.97350057415423,very_high,1142.3539038452343,638.7642028214733,288.4254456443698,11.949270422108937,1.0209926334520631,0.60346549501871,8.039920130333556,soluble,True
Q96B26,EXOS8_HUMAN,276,5,1.7785836531102022,99.96466743220563,very_high,1120.2853058806863,629.8749591675765,274.5896896366902,11.394694355201883,0.9436479099091172,0.601618813202326,7.976939829167924,soluble,True
Q9UK22,FBX2_HUMAN,296,5,1.7665043203735888,99.95583429025704,very_high,1153.8333047636793,653.1732141577183,305.52408789845504,10.282048561359728,0.9783961175719182,0.6054775839764688,3.691565310174029,soluble,True
P49189,AL9A1_HUMAN,494,5,1.7453654594329615,99.94700114830846,very_high,1150.8166135118815,659.3556709229346,276.6327504964996,11.378995694023216,0.9532424163473912,0.6449926548612527,7.935240605609438,soluble,True
Q9UKS6,PACN3_HUMAN,424,5,1.7399526863468204,99.93816800635986,very_high,1306.0821998974532,750.6423652461175,441.04593905636943,11.784296713643348,1.1108962624944536,0.707678768534936,4.425226904518858,soluble,True
Q86XT4,TRI50_HUMAN,487,5,1.7303168439699617,99.92933486441127,very_high,1275.8350799694954,737.341883027935,402.5659771715433,12.179124289153288,1.0487258646090996,0.712934566614323,4.231784688662962,soluble,True
Q6ZT62,BGIN_HUMAN,677,5,1.7111827648509683,99.92050172246269,very_high,1212.6325413737766,708.6516801597619,314.53423267415803,12.101340217551591,0.939625525865749,0.6864275961700445,4.23023632101501,soluble,True
Q8WXU2,DAAF4_HUMAN,420,5,1.710819912880441,99.91166858051409,very_high,1147.397741411003,670.6712569632551,282.88420069416486,11.36109224930258,0.9420019007993752,0.6260587634897745,4.054196513883239,soluble,True
P08590,MYL3_HUMAN,195,5,1.708688855472343,99.90283543856549,very_high,1080.3144381279276,632.2476059151104,245.203904399905,11.446023740689208,0.8777731281276291,0.5608032000910406,4.962886843127922,soluble,True
Q13619,CUL4A_HUMAN,759,5,1.7030251081473615,99.8940022966169,very_high,1181.9369009611032,694.0220054918461,273.1228297144497,11.76396743308101,0.8856953034570678,0.6769678479218166,8.258403657714696,soluble,True
Q9BYJ4,TRI34_HUMAN,488,5,1.701602789184228,99.88516915466832,very_high,1226.2064051308653,720.6184739019052,352.8066223018518,11.310567080120448,0.9820496885659226,0.7060957862295237,4.650570747312518,soluble,True
Q9H939,PPIP2_HUMAN,334,5,1.6972324742027225,99.87633601271972,very_high,1225.4794247996176,722.0457087786936,372.2043667540602,10.538163705398825,1.027575908621803,0.666183296619878,4.167702154835955,soluble,True
A6NKP2,D42E2_HUMAN,422,5,1.6941017491870405,99.86750287077113,very_high,1080.2848070750376,637.6740993223972,215.50990629607668,11.85421765303535,0.9272810358809244,0.61928557971531,5.633322946442179,soluble,True
